team_name,opponent_name,team_city,opponent_city,distance
Lagos,Penafiel,Lagos,Penafiel,456
Lagos,Pevidem,Lagos,Guimarães,481
Lajense,Moreirense,"São Jorge, Azores",Moreira de Cónegos,1705
Lajense,São Roque (Açores),"São Jorge, Azores","São Roque, Azores",27
Lamego,Régua,Lamego,Peso da Régua,7
Leixoes,Amarante,Matosinhos,Amarante,52
Leixoes,Anadia,Matosinhos,Anadia,85
Leixoes,FC Porto,Matosinhos,Porto,20
Leixoes,Praiense,Matosinhos,Praia da Vitória,1590
Leixoes,Santa Clara,Matosinhos,Ponta Delgada,1509
Leixoes,Tondela,Matosinhos,Tondela,91
Leixoes,Vilaverdense,Matosinhos,Vila Verde,56
Leça,GIL Vicente,Leça da Palmeira,Barcelos,37
Leça,Leixoes,Leça da Palmeira,Matosinhos,2
